Title,Company,Location,Salary,Kelayakan
Customer Relation Officer Jakarta,PT Kideta Boga Multirasa,Batam,Rp 4.000.000,Tidak Layak
DIMSUM CHEF,PT Kalibesar Raya Utama,Surakarta,Rp 4.000.000,Tidak Layak
Growth Marketing Manager,PT Daikin Airconditioning Indonesia,Surakarta,Rp 4.000.000,Tidak Layak
Customer Relation Officer Jakarta,PT Grune Teknologi Indonesia,Semarang Tengah,Rp 2.500.000,Tidak Layak
Manager Produksi,PT Daikin Airconditioning Indonesia,Denpasar Utara,Rp 4.500.000,Tidak Layak
Purchasing Staff Restoran,PT Daikin Airconditioning Indonesia,Denpasar Utara,Rp 3.000.000,Tidak Layak
Real Estate Admin - Back Office,PT Cisangkan,Batam,Rp 3.500.000,Tidak Layak
Sales Associates,Palais Construction,Semarang Tengah,Rp 3.500.000,Tidak Layak
Web Developer,PT Indium Dinamika Solusindo,Jakarta Utara,Rp 5.000.000,Tidak Layak
HRGA Assistance/ Recruitment Assistance,PT Kalibesar Raya Utama,Jakarta Utara,Rp 5.000.000,Tidak Layak
Coal Buyer Seller Specialist (Trader Coal),Palais Construction,Jakarta Barat,"Rp 5,000,000",Tidak Layak
Kepala Administrasi (Kasie) Kebun,PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Raya,Rp 9.000.000,Layak
Coal Buyer Seller Specialist (Trader Coal),PT. Pinago Utama Tbk,Jakarta Utara,Rp 9.000.000,Layak
Customer Relation Officer Jakarta,PT Indium Dinamika Solusindo,Jakarta Barat,Rp 4.000.000,Tidak Layak
Maintenance Sales,PT Danpac Pharma,Jakarta Utara,Rp 5.000.000,Tidak Layak
Manager Produksi,PT Seacrest Real Estate,Bali,Rp 5.000.000,Tidak Layak
Operator Produksi ( Percetakan ),PT Grune Teknologi Indonesia,Jakarta Utara,Rp 8.000.000,Layak
Operator Produksi ( Percetakan ),PT Cisangkan,Semarang Tengah,"Rp 7,000,000",Layak
Real Estate Admin - Back Office,PT Grune Teknologi Indonesia,Surabaya,Rp 11.000.000,Layak
Customer Relation Officer Jakarta,EF English First Swara Group,Batam,"Rp 5,000,000",Tidak Layak
Sales Team,PT ME TOO INTERNATIONAL,Batam,Rp 3.500.000,Tidak Layak
HRGA Assistance/ Recruitment Assistance,PT Daikin Airconditioning Indonesia,Semarang Tengah,Rp 9.000.000,Layak
Web Developer,PT Daikin Airconditioning Indonesia,Jakarta Utara,Rp 4.000.000,Tidak Layak
Coal Buyer Seller Specialist (Trader Coal),PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Utara,Rp 6.000.000,Layak
Growth Marketing Manager,PT Kalibesar Raya Utama,Jakarta Utara,Rp 3.500.000,Tidak Layak
Operator Produksi ( Percetakan ),PT Indium Dinamika Solusindo,Jakarta Utara,Rp 9.000.000,Layak
DIMSUM CHEF,Palais Construction,Jakarta Utara,Rp 5.000.000,Tidak Layak
Maintenance Sales,PT Danpac Pharma,Bali,Rp 9.000.000,Layak
Content Creator (TikTok Specialist),PT Kideta Boga Multirasa,Jakarta Raya,Rp 2.500.000,Tidak Layak
Content Creator (TikTok Specialist),PT. EMTRADE TEKNOLOGI FINANSIAL,Bandung,Rp 5.000.000,Tidak Layak
Coal Buyer Seller Specialist (Trader Coal),PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 6.000.000,Layak
Operator Produksi ( Percetakan ),PT Kalibesar Raya Utama,Bandung,Rp 4.500.000,Tidak Layak
Operator Produksi ( Percetakan ),PT. JAYA BERSAMA SAPUTRA PERKASA,Bandung,"Rp 5,000,000",Tidak Layak
Operator Produksi ( Percetakan ),PT Rajawali Bumi Raya,Jakarta Barat,Rp 12.000.000,Layak
Web Developer,Growtopia,Jakarta Barat,Rp 6.000.000,Layak
Content Creator (TikTok Specialist),PT Surya Tanjung Jaya,Jakarta Utara,"Rp 7,000,000",Layak
Manager Produksi,PT Kalibesar Raya Utama,Jakarta Barat,Rp 6.000.000,Layak
Real Estate Admin - Back Office,PT Seacrest Real Estate,Bandung,Rp 5.000.000,Tidak Layak
Customer Relation Officer Jakarta,PT ME TOO INTERNATIONAL,Jakarta Barat,"Rp 5,000,000",Tidak Layak
Customer Relation Officer Jakarta,PT Cisangkan,Surakarta,Rp 4.500.000,Tidak Layak
Operator Produksi ( Percetakan ),PT Daikin Airconditioning Indonesia,Jakarta Barat,Rp 8.000.000,Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Barat,Rp 3.000.000,Tidak Layak
Telesales/Telemarketing (Cabang Manado),PT Danpac Pharma,Semarang Tengah,Rp 2.500.000,Tidak Layak
Growth Marketing Manager,PT Kideta Boga Multirasa,Bandung,Rp 5.000.000,Tidak Layak
Content Creator (TikTok Specialist),Palais Construction,Jakarta Raya,Rp 8.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Danpac Pharma,Manado,Rp 3.500.000,Tidak Layak
Operator Produksi ( Percetakan ),PT Surya Tanjung Jaya,Jakarta Barat,Rp 3.500.000,Tidak Layak
Growth Marketing Manager,PT Seacrest Real Estate,Jakarta Utara,"Rp 5,000,000",Tidak Layak
Telesales/Telemarketing (Cabang Manado),PT Seacrest Real Estate,Jakarta Utara,Rp 5.000.000,Tidak Layak
Manager Produksi,PT. EMTRADE TEKNOLOGI FINANSIAL,Tangerang,Rp 2.500.000,Tidak Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT Rajawali Bumi Raya,Tangerang,Rp 4.500.000,Tidak Layak
Maintenance Sales,Palais Construction,Badung,Rp 9.000.000,Layak
Customer Relation Officer Jakarta,PT ME TOO INTERNATIONAL,Badung,Rp 8.000.000,Layak
Staff Telecollection Recovery,PT Danpac Pharma,Jakarta Barat,Rp 8.000.000,Layak
Operator Produksi ( Percetakan ),PT Danpac Pharma,Denpasar Utara,"Rp 5,000,000",Layak
Sales Associates,PT Grune Teknologi Indonesia,Jakarta Utara,Rp 8.000.000,Layak
Telesales/Telemarketing (Cabang Manado),Tumbleryuk,Batam,Rp 5.000.000,Layak
Finance & Accounting Manager,PT Daikin Airconditioning Indonesia,Tangerang,"Rp 7,000,000",Layak
Coal Buyer Seller Specialist (Trader Coal),PT ME TOO INTERNATIONAL,Bali,Rp 11.000.000,Layak
Finance & Accounting Manager,PT Indium Dinamika Solusindo,Jakarta Utara,Rp 8.000.000,Layak
Kepala Administrasi (Kasie) Kebun,PT Cisangkan,Jakarta Utara,Rp 8.000.000,Layak
Purchasing Staff Restoran,PT Rajawali Bumi Raya,Badung,Rp 4.000.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,PT Daikin Airconditioning Indonesia,Musi Banyuasin,Rp 8.000.000,Layak
Sales Team,PT Indium Dinamika Solusindo,Surabaya,Rp 5.000.000,Layak
Customer Relation Officer Jakarta,PT Grune Teknologi Indonesia,Jakarta Selatan,Rp 9.000.000,Layak
Kepala Administrasi (Kasie) Kebun,PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 4.000.000,Tidak Layak
Operator Produksi ( Percetakan ),PT. EMTRADE TEKNOLOGI FINANSIAL,Badung,Rp 4.500.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 12.000.000,Layak
Maintenance Sales,Growtopia,Jakarta Barat,Rp 3.500.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,PT Dufrindo Internasional,Batam,Rp 2.500.000,Tidak Layak
Operator Produksi ( Percetakan ),PT Seacrest Real Estate,Jakarta Utara,"Rp 5,000,000",Layak
Content Creator (TikTok Specialist),PT Seacrest Real Estate,Surabaya,Rp 5.000.000,Layak
Telesales/Telemarketing (Cabang Manado),PT Daikin Airconditioning Indonesia,Tangerang,Rp 11.000.000,Layak
Finance & Accounting Manager,Palais Construction,Jakarta Barat,Rp 5.000.000,Layak
Staff Telecollection Recovery,PT Surya Tanjung Jaya,Jakarta Raya,Rp 4.500.000,Tidak Layak
Customer Relation Officer Jakarta,Tumbleryuk,Musi Banyuasin,Rp 11.000.000,Layak
Finance & Accounting Manager,Tumbleryuk,Jakarta Barat,Rp 3.000.000,Tidak Layak
Sales Team,PT Daikin Airconditioning Indonesia,Jakarta Utara,Rp 7.000.000,Layak
Kepala Administrasi (Kasie) Kebun,PT ME TOO INTERNATIONAL,Bandung,Rp 8.000.000,Layak
Web Developer,Growtopia,Jakarta Utara,Rp 5.000.000,Layak
Maintenance Sales,PT ME TOO INTERNATIONAL,Surabaya,Rp 9.000.000,Layak
HRGA Assistance/ Recruitment Assistance,PT. EMTRADE TEKNOLOGI FINANSIAL,Bandung,Rp 3.500.000,Tidak Layak
Coal Buyer Seller Specialist (Trader Coal),Tumbleryuk,Jakarta Barat,Rp 4.500.000,Tidak Layak
Content Creator (TikTok Specialist),Tumbleryuk,Jakarta Utara,Rp 9.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Selatan,Rp 7.000.000,Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT Danpac Pharma,Surakarta,"Rp 5,000,000",Layak
Sales Associates,Growtopia,Surakarta,Rp 8.000.000,Layak
Staff Telecollection Recovery,PT Grune Teknologi Indonesia,Jakarta Utara,"Rp 7,000,000",Layak
Real Estate Admin - Back Office,PT Daikin Airconditioning Indonesia,Jakarta Utara,Rp 8.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Seacrest Real Estate,Jakarta Barat,Rp 4.000.000,Tidak Layak
DIMSUM CHEF,PT ME TOO INTERNATIONAL,Jakarta Utara,"Rp 5,000,000",Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT Kideta Boga Multirasa,Jakarta Raya,Rp 4.500.000,Tidak Layak
Finance & Accounting Manager,PT Dufrindo Internasional,Surakarta,Rp 4.000.000,Tidak Layak
Growth Marketing Manager,PT Dufrindo Internasional,Jakarta Barat,Rp 12.000.000,Layak
Staff Telecollection Recovery,Palais Construction,Denpasar Utara,Rp 4.500.000,Tidak Layak
Manager Produksi,PT Seacrest Real Estate,Badung,Rp 11.000.000,Layak
Customer Relation Officer Jakarta,PT Seacrest Real Estate,Jakarta Barat,"Rp 7,000,000",Layak
Operator Produksi ( Percetakan ),EF English First Swara Group,Semarang Tengah,Rp 9.000.000,Layak
Growth Marketing Manager,PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Utara,Rp 3.000.000,Tidak Layak
Content Creator (TikTok Specialist),PT Kalibesar Raya Utama,Jakarta Utara,Rp 8.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Kalibesar Raya Utama,Musi Banyuasin,Rp 5.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),Growtopia,Tangerang,Rp 12.000.000,Layak
DIMSUM CHEF,EF English First Swara Group,Jakarta Barat,Rp 3.000.000,Tidak Layak
Operator Produksi ( Percetakan ),PT. Pinago Utama Tbk,Musi Banyuasin,Rp 5.000.000,Layak
Customer Relation Officer Jakarta,PT Cisangkan,Jakarta Barat,"Rp 5,000,000",Layak
DIMSUM CHEF,PT Kideta Boga Multirasa,Jakarta Barat,Rp 4.000.000,Tidak Layak
Coal Buyer Seller Specialist (Trader Coal),PT Indium Dinamika Solusindo,Badung,Rp 4.000.000,Tidak Layak
Telesales/Telemarketing (Cabang Manado),PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Barat,Rp 5.000.000,Layak
Sales Team,PT Kalibesar Raya Utama,Jakarta Selatan,Rp 2.500.000,Tidak Layak
Customer Relation Officer Jakarta,PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Utara,Rp 3.000.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,Growtopia,Musi Banyuasin,Rp 6.000.000,Layak
Real Estate Admin - Back Office,PT Danpac Pharma,Bali,Rp 4.500.000,Tidak Layak
DIMSUM CHEF,PT Kideta Boga Multirasa,Manado,Rp 7.000.000,Layak
Customer Relation Officer Jakarta,PT Surya Tanjung Jaya,Bandung,Rp 6.000.000,Layak
Purchasing Staff Restoran,EF English First Swara Group,Jakarta Barat,Rp 5.000.000,Layak
Kepala Administrasi (Kasie) Kebun,PT ME TOO INTERNATIONAL,Semarang Tengah,Rp 4.500.000,Tidak Layak
Real Estate Admin - Back Office,Palais Construction,Jakarta Utara,Rp 5.000.000,Layak
Maintenance Sales,Palais Construction,Bali,Rp 5.000.000,Layak
Kepala Administrasi (Kasie) Kebun,EF English First Swara Group,Jakarta Utara,Rp 3.500.000,Tidak Layak
Maintenance Sales,EF English First Swara Group,Bali,Rp 5.000.000,Layak
Sales Team,PT Danpac Pharma,Jakarta Barat,Rp 5.000.000,Layak
Operator Produksi ( Percetakan ),PT Surya Tanjung Jaya,Bandung,Rp 3.500.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,PT Kalibesar Raya Utama,Jakarta Raya,"Rp 5,000,000",Tidak Layak
Maintenance Sales,PT Seacrest Real Estate,Surakarta,Rp 5.000.000,Tidak Layak
Sales Team,PT Dufrindo Internasional,Bandung,Rp 4.000.000,Tidak Layak
Sales Team,PT Seacrest Real Estate,Surabaya,Rp 4.000.000,Layak
Staff Telecollection Recovery,PT ME TOO INTERNATIONAL,Jakarta Raya,Rp 4.500.000,Tidak Layak
Maintenance Sales,PT ME TOO INTERNATIONAL,Musi Banyuasin,Rp 3.500.000,Layak
DIMSUM CHEF,PT. Pinago Utama Tbk,Tangerang,Rp 12.000.000,Layak
Coal Buyer Seller Specialist (Trader Coal),PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Utara,Rp 3.000.000,Layak
DIMSUM CHEF,PT ME TOO INTERNATIONAL,Musi Banyuasin,"Rp 7,000,000",Tidak Layak
HRGA Assistance/ Recruitment Assistance,PT Dufrindo Internasional,Jakarta Barat,Rp 12.000.000,Layak
Sales Associates,PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Barat,Rp 4.500.000,Layak
DIMSUM CHEF,Tumbleryuk,Jakarta Utara,Rp 4.500.000,Tidak Layak
Finance & Accounting Manager,PT Rajawali Bumi Raya,Jakarta Barat,Rp 4.500.000,Layak
Telesales/Telemarketing (Cabang Manado),PT Indium Dinamika Solusindo,Denpasar Utara,Rp 5.000.000,Tidak Layak
Maintenance Sales,PT Seacrest Real Estate,Musi Banyuasin,Rp 5.000.000,Layak
Real Estate Admin - Back Office,PT Surya Tanjung Jaya,Badung,Rp 2.500.000,Tidak Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT Surya Tanjung Jaya,Jakarta Barat,Rp 12.000.000,Layak
Sales Team,PT Daikin Airconditioning Indonesia,Jakarta Utara,Rp 2.500.000,Tidak Layak
Staff Telecollection Recovery,PT Cisangkan,Jakarta Utara,Rp 12.000.000,Layak
Content Creator (TikTok Specialist),PT. JAYA BERSAMA SAPUTRA PERKASA,Bandung,Rp 4.000.000,Tidak Layak
Staff Telecollection Recovery,PT. Pinago Utama Tbk,Batam,Rp 7.000.000,Layak
Web Developer,PT Daikin Airconditioning Indonesia,Semarang Tengah,Rp 6.000.000,Layak
Coal Buyer Seller Specialist (Trader Coal),Palais Construction,Jakarta Barat,Rp 3.000.000,Tidak Layak
Web Developer,PT Seacrest Real Estate,Jakarta Selatan,Rp 11.000.000,Layak
Kepala Administrasi (Kasie) Kebun,PT Grune Teknologi Indonesia,Surakarta,Rp 11.000.000,Layak
Staff Telecollection Recovery,PT Cisangkan,Manado,Rp 4.500.000,Tidak Layak
Content Creator (TikTok Specialist),PT Grune Teknologi Indonesia,Jakarta Raya,Rp 3.500.000,Tidak Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT Dufrindo Internasional,Surabaya,Rp 6.000.000,Layak
Content Creator (TikTok Specialist),PT Danpac Pharma,Denpasar Utara,Rp 3.500.000,Tidak Layak
HRGA Assistance/ Recruitment Assistance,PT Dufrindo Internasional,Surabaya,Rp 3.000.000,Tidak Layak
Sales Alkes / Farmasi (Area Surabaya),EF English First Swara Group,Jakarta Raya,Rp 11.000.000,Layak
Web Developer,PT Cisangkan,Jakarta Selatan,Rp 5.000.000,Layak
DIMSUM CHEF,PT Danpac Pharma,Surakarta,Rp 3.000.000,Tidak Layak
Maintenance Sales,Growtopia,Jakarta Selatan,Rp 6.000.000,Tidak Layak
Sales Alkes / Farmasi (Area Surabaya),PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 5.000.000,Layak
Maintenance Sales,PT ME TOO INTERNATIONAL,Batam,Rp 8.000.000,Layak
Growth Marketing Manager,PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Selatan,Rp 9.000.000,Layak
Sales Team,PT Kideta Boga Multirasa,Jakarta Utara,Rp 6.000.000,Layak
Kepala Administrasi (Kasie) Kebun,PT Daikin Airconditioning Indonesia,Jakarta Utara,Rp 11.000.000,Layak
Web Developer,PT Cisangkan,Musi Banyuasin,Rp 8.000.000,Layak
Content Creator (TikTok Specialist),PT Seacrest Real Estate,Tangerang,Rp 11.000.000,Layak
Real Estate Admin - Back Office,PT. EMTRADE TEKNOLOGI FINANSIAL,Batam,"Rp 5,000,000",Layak
DIMSUM CHEF,PT. Pinago Utama Tbk,Musi Banyuasin,Rp 6.000.000,Tidak Layak
Sales Team,PT Kideta Boga Multirasa,Denpasar Utara,Rp 7.000.000,Layak
Web Developer,PT ME TOO INTERNATIONAL,Tangerang,Rp 5.000.000,Layak
Coal Buyer Seller Specialist (Trader Coal),PT Cisangkan,Musi Banyuasin,Rp 8.000.000,Layak
Customer Relation Officer Jakarta,PT Dufrindo Internasional,Jakarta Barat,Rp 5.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT. JAYA BERSAMA SAPUTRA PERKASA,Bandung,Rp 5.000.000,Tidak Layak
Operator Produksi ( Percetakan ),PT Rajawali Bumi Raya,Manado,"Rp 7,000,000",Layak
Web Developer,PT Daikin Airconditioning Indonesia,Surabaya,Rp 4.500.000,Layak
Sales Team,PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Raya,Rp 4.500.000,Layak
Telesales/Telemarketing (Cabang Manado),PT. EMTRADE TEKNOLOGI FINANSIAL,Manado,Rp 5.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Surya Tanjung Jaya,Batam,Rp 4.500.000,Tidak Layak
HEAD WORKSHOP INTERIOR FURNITURE,EF English First Swara Group,Tangerang,Rp 4.500.000,Layak
Growth Marketing Manager,PT Dufrindo Internasional,Jakarta Barat,"Rp 5,000,000",Layak
Coal Buyer Seller Specialist (Trader Coal),PT Kalibesar Raya Utama,Jakarta Barat,Rp 6.000.000,Layak
Kepala Administrasi (Kasie) Kebun,PT Surya Tanjung Jaya,Jakarta Utara,Rp 3.500.000,Layak
Customer Relation Officer Jakarta,Growtopia,Jakarta Utara,Rp 3.500.000,Layak
Telesales/Telemarketing (Cabang Manado),PT Daikin Airconditioning Indonesia,Semarang Tengah,Rp 3.500.000,Tidak Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT Danpac Pharma,Badung,Rp 6.000.000,Layak
Real Estate Admin - Back Office,PT Rajawali Bumi Raya,Jakarta Barat,Rp 8.000.000,Layak
Real Estate Admin - Back Office,PT Grune Teknologi Indonesia,Jakarta Barat,Rp 6.000.000,Layak
Staff Telecollection Recovery,PT Seacrest Real Estate,Badung,Rp 8.000.000,Layak
Kepala Administrasi (Kasie) Kebun,PT Dufrindo Internasional,Bali,Rp 3.000.000,Tidak Layak
Real Estate Admin - Back Office,PT Grune Teknologi Indonesia,Bali,Rp 12.000.000,Layak
Content Creator (TikTok Specialist),PT Dufrindo Internasional,Manado,"Rp 7,000,000",Layak
Web Developer,PT Cisangkan,Bali,"Rp 7,000,000",Layak
Telesales/Telemarketing (Cabang Manado),PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Utara,Rp 5.000.000,Layak
Purchasing Staff Restoran,Tumbleryuk,Manado,Rp 4.000.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Selatan,Rp 9.000.000,Layak
Manager Produksi,PT Daikin Airconditioning Indonesia,Jakarta Utara,Rp 2.500.000,Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT Rajawali Bumi Raya,Jakarta Raya,Rp 7.000.000,Layak
Content Creator (TikTok Specialist),PT Rajawali Bumi Raya,Jakarta Barat,Rp 3.500.000,Tidak Layak
Telesales/Telemarketing (Cabang Manado),Growtopia,Jakarta Barat,Rp 3.500.000,Tidak Layak
Web Developer,Tumbleryuk,Jakarta Barat,"Rp 5,000,000",Layak
Content Creator (TikTok Specialist),PT Grune Teknologi Indonesia,Jakarta Utara,Rp 4.500.000,Layak
Kepala Administrasi (Kasie) Kebun,PT Dufrindo Internasional,Surakarta,Rp 11.000.000,Layak
Operator Produksi ( Percetakan ),PT Grune Teknologi Indonesia,Jakarta Barat,Rp 3.500.000,Tidak Layak
Telesales/Telemarketing (Cabang Manado),PT. JAYA BERSAMA SAPUTRA PERKASA,Badung,Rp 9.000.000,Layak
Real Estate Admin - Back Office,PT ME TOO INTERNATIONAL,Batam,Rp 3.500.000,Layak
Finance & Accounting Manager,PT ME TOO INTERNATIONAL,Bandung,"Rp 5,000,000",Layak
Sales Alkes / Farmasi (Area Surabaya),PT Cisangkan,Jakarta Barat,Rp 2.500.000,Layak
Content Creator (TikTok Specialist),PT Indium Dinamika Solusindo,Bandung,Rp 12.000.000,Layak
Telesales/Telemarketing (Cabang Manado),PT. JAYA BERSAMA SAPUTRA PERKASA,Surabaya,Rp 8.000.000,Layak
DIMSUM CHEF,PT Kideta Boga Multirasa,Surakarta,Rp 7.000.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Kalibesar Raya Utama,Jakarta Raya,Rp 2.500.000,Tidak Layak
Coal Buyer Seller Specialist (Trader Coal),PT Dufrindo Internasional,Jakarta Selatan,"Rp 7,000,000",Layak
Sales Team,EF English First Swara Group,Jakarta Utara,Rp 9.000.000,Layak
Customer Relation Officer Jakarta,PT Kalibesar Raya Utama,Jakarta Selatan,Rp 9.000.000,Layak
DIMSUM CHEF,PT Kideta Boga Multirasa,Jakarta Utara,"Rp 7,000,000",Layak
HRGA Assistance/ Recruitment Assistance,PT Indium Dinamika Solusindo,Jakarta Utara,Rp 3.500.000,Layak
Sales Alkes / Farmasi (Area Surabaya),PT Daikin Airconditioning Indonesia,Musi Banyuasin,"Rp 5,000,000",Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Selatan,Rp 8.000.000,Layak
Real Estate Admin - Back Office,Palais Construction,Tangerang,Rp 5.000.000,Layak
Operator Produksi ( Percetakan ),PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Barat,Rp 9.000.000,Layak
Operator Produksi ( Percetakan ),PT Seacrest Real Estate,Jakarta Utara,Rp 5.000.000,Layak
Maintenance Sales,PT ME TOO INTERNATIONAL,Surabaya,Rp 5.000.000,Layak
Finance & Accounting Manager,Growtopia,Semarang Tengah,Rp 7.000.000,Layak
Maintenance Sales,PT. Pinago Utama Tbk,Bandung,Rp 4.500.000,Layak
Sales Associates,PT Grune Teknologi Indonesia,Semarang Tengah,Rp 2.500.000,Layak
Manager Produksi,PT Seacrest Real Estate,Jakarta Barat,Rp 5.000.000,Layak
Staff Telecollection Recovery,PT Rajawali Bumi Raya,Surabaya,Rp 7.000.000,Layak
Sales Associates,PT. Pinago Utama Tbk,Jakarta Barat,Rp 5.000.000,Layak
Growth Marketing Manager,PT ME TOO INTERNATIONAL,Manado,Rp 5.000.000,Layak
Manager Produksi,PT Indium Dinamika Solusindo,Batam,Rp 7.000.000,Layak
Telesales/Telemarketing (Cabang Manado),PT Grune Teknologi Indonesia,Jakarta Selatan,Rp 8.000.000,Layak
Growth Marketing Manager,PT. Pinago Utama Tbk,Surabaya,"Rp 5,000,000",Layak
DIMSUM CHEF,PT Kideta Boga Multirasa,Manado,"Rp 5,000,000",Layak
Customer Relation Officer Jakarta,PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 4.500.000,Layak
Sales Team,PT Surya Tanjung Jaya,Bali,Rp 4.500.000,Layak
Staff Telecollection Recovery,PT. EMTRADE TEKNOLOGI FINANSIAL,Badung,Rp 5.000.000,Tidak Layak
Real Estate Admin - Back Office,PT Kideta Boga Multirasa,Bali,Rp 4.500.000,Tidak Layak
Finance & Accounting Manager,PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Barat,Rp 4.500.000,Tidak Layak
Real Estate Admin - Back Office,Palais Construction,Jakarta Utara,Rp 6.000.000,Layak
Kepala Administrasi (Kasie) Kebun,PT Daikin Airconditioning Indonesia,Jakarta Barat,Rp 5.000.000,Layak
Sales Associates,PT Seacrest Real Estate,Jakarta Barat,Rp 4.500.000,
Staff Telecollection Recovery,PT Seacrest Real Estate,Musi Banyuasin,Rp 11.000.000,
Telesales/Telemarketing (Cabang Manado),Growtopia,Jakarta Utara,Rp 6.000.000,
Kepala Administrasi (Kasie) Kebun,PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Utara,Rp 5.000.000,
Coal Buyer Seller Specialist (Trader Coal),PT Dufrindo Internasional,Batam,Rp 3.000.000,
Staff Telecollection Recovery,PT Kalibesar Raya Utama,Musi Banyuasin,Rp 8.000.000,
Content Creator (TikTok Specialist),PT Grune Teknologi Indonesia,Tangerang,Rp 2.500.000,
Real Estate Admin - Back Office,PT Kideta Boga Multirasa,Surakarta,"Rp 5,000,000",
Telesales/Telemarketing (Cabang Manado),PT Cisangkan,Jakarta Utara,"Rp 5,000,000",
Content Creator (TikTok Specialist),PT Cisangkan,Bali,Rp 3.500.000,
Content Creator (TikTok Specialist),PT Rajawali Bumi Raya,Tangerang,Rp 3.500.000,
HEAD WORKSHOP INTERIOR FURNITURE,PT Daikin Airconditioning Indonesia,Denpasar Utara,Rp 2.500.000,
DIMSUM CHEF,PT Kideta Boga Multirasa,Bali,Rp 7.000.000,
Finance & Accounting Manager,PT Cisangkan,Jakarta Barat,Rp 11.000.000,
Customer Relation Officer Jakarta,PT Seacrest Real Estate,Jakarta Utara,Rp 7.000.000,
Finance & Accounting Manager,PT ME TOO INTERNATIONAL,Batam,Rp 3.500.000,
Finance & Accounting Manager,Tumbleryuk,Bali,Rp 8.000.000,
Maintenance Sales,PT Seacrest Real Estate,Bandung,Rp 4.000.000,
Growth Marketing Manager,PT Grune Teknologi Indonesia,Jakarta Utara,Rp 4.500.000,
Operator Produksi ( Percetakan ),Growtopia,Jakarta Utara,Rp 12.000.000,
Kepala Administrasi (Kasie) Kebun,PT Indium Dinamika Solusindo,Jakarta Raya,Rp 2.500.000,
Real Estate Admin - Back Office,PT Grune Teknologi Indonesia,Surabaya,Rp 8.000.000,
Sales Associates,PT ME TOO INTERNATIONAL,Jakarta Barat,Rp 3.500.000,
HEAD WORKSHOP INTERIOR FURNITURE,PT Rajawali Bumi Raya,Badung,Rp 6.000.000,
Maintenance Sales,Palais Construction,Badung,Rp 8.000.000,
Finance & Accounting Manager,PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 4.500.000,
HEAD WORKSHOP INTERIOR FURNITURE,PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 6.000.000,
Real Estate Admin - Back Office,PT Kideta Boga Multirasa,Jakarta Utara,Rp 4.000.000,
DIMSUM CHEF,PT ME TOO INTERNATIONAL,Badung,"Rp 5,000,000",
Purchasing Staff Restoran,PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Utara,Rp 3.500.000,
Real Estate Admin - Back Office,PT Grune Teknologi Indonesia,Badung,Rp 8.000.000,
Web Developer,PT Surya Tanjung Jaya,Jakarta Utara,Rp 8.000.000,
